bssid,gps_text
e8:81:75:29:80:a6,Lat: 13.6809694, Lng: 100.6103321, Accuracy: 41.282m
7a:53:0d:18:e5:e9,Lat: 13.6809694, Lng: 100.6103321, Accuracy: 41.282m
68:9e:29:df:63:6b,Lat: 13.6809694, Lng: 100.6103321, Accuracy: 41.282m
e8:5a:d1:e6:f8:d7,Lat: 13.6809694, Lng: 100.6103321, Accuracy: 41.282m
98:00:6a:22:1a:c8,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
98:00:6a:22:1a:c9,Lat: 13.6809694, Lng: 100.6103321, Accuracy: 41.282m
74:e9:bf:6f:65:00,Lat: 13.681444464036652, Lng: 100.61056887810564, Accuracy: 4.9m
50:4f:3b:e5:29:6a,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
66:20:e3:1c:0f:36,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
9c:63:5b:74:4a:a6,Lat: 13.681455715200117, Lng: 100.61053743444579, Accuracy: 9.071986m
64:20:e3:9c:0f:37,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
4e:d9:e7:f8:2a:90,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
74:e9:bf:6f:65:04,Lat: 13.681444464036652, Lng: 100.61056887810564, Accuracy: 4.9m
4a:81:d4:dd:9c:4b,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
66:20:e3:9c:0f:36,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
74:e9:bf:6f:65:07,Lat: 13.681444464036652, Lng: 100.61056887810564, Accuracy: 4.9m
ac:b3:b5:6e:73:e4,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
56:4f:3b:e5:32:e6,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
44:d9:e7:f8:2a:90,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
4a:81:d4:5d:9c:97,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
4a:d9:e7:f8:2a:90,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
50:4f:3b:e5:32:e6,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
76:34:2b:ec:2b:dc,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
aa:ba:70:0d:47:39,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
0c:80:63:3a:0d:9b,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
5a:4f:3b:e5:29:6a,Lat: 13.681444464036652, Lng: 100.61056887810564, Accuracy: 4.9m
66:20:e3:14:82:5e,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
c2:8f:20:1b:84:f1,Lat: 13.681444464036652, Lng: 100.61056887810564, Accuracy: 4.9m
f8:53:29:ed:bf:58,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
a4:ba:70:0d:47:39,Lat: 13.681700485597538, Lng: 100.61034023153114, Accuracy: 6.235547m
5a:4f:3b:e5:1f:d6,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
fe:12:2c:d7:6a:0c,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
66:20:e3:16:29:08,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
c0:bc:9a:b1:c0:0c,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
50:4f:3b:e5:32:e7,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
66:20:e3:96:81:8e,Lat: 13.681455715200117, Lng: 100.61053743444579, Accuracy: 9.071986m
64:20:e3:b1:a5:c7,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
20:08:89:4b:a2:6e,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
