collection_id,username,sample_id,captured_at,gps_text,wifi_count,bssid,ssid,rssi_dbm,frequency_mhz,channel,band,security,wifi_standard,merged_count
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,3f5595b4-b01c-434c-9e58-559dadc9817b,2026-04-03 01:17:28,"Lat: 13.681103927724994, Lng: 100.6106729819331, Accuracy: 4.9m",18,48:81:d4:0d:9c:4b,NNP,-85,5200,40,5 GHz,[WPA-PSK-CCMP][K][V][WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS],Unknown,3
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,3f5595b4-b01c-434c-9e58-559dadc9817b,2026-04-03 01:17:28,"Lat: 13.681103927724994, Lng: 100.6106729819331, Accuracy: 4.9m",18,74:c9:a3:f5:2e:74,STORMTROOPER,-85,2412,1,2.4 GHz,[WPA-PSK-CCMP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],Unknown,3
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,3f5595b4-b01c-434c-9e58-559dadc9817b,2026-04-03 01:17:28,"Lat: 13.681103927724994, Lng: 100.6106729819331, Accuracy: 4.9m",18,20:08:89:13:6a:fe,Sunsanee 2.4G,-86,2472,13,2.4 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS][WPS],Unknown,23
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,3f5595b4-b01c-434c-9e58-559dadc9817b,2026-04-03 01:17:28,"Lat: 13.681103927724994, Lng: 100.6106729819331, Accuracy: 4.9m",18,de:cd:2f:89:f5:27,DIRECT-t2-EPSON-L15150 Series,-86,2457,10,2.4 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],Unknown,3
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,3f5595b4-b01c-434c-9e58-559dadc9817b,2026-04-03 01:17:28,"Lat: 13.681103927724994, Lng: 100.6106729819331, Accuracy: 4.9m",18,38:91:48:e2:9f:bd,Wings_5G,-91,5540,108,5 GHz,[WPA-PSK-CCMP][K][V][WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS][WPS],Unknown,3
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,a5db200f-ee79-4ae6-9e01-ca85ef1c9ba1,2026-04-03 01:17:31,"Lat: 13.6809694, Lng: 100.6103321, Accuracy: 41.282m",22,14:ca:56:f5:f9:21,Clara wifi_2.4G,-48,2442,7,2.4 GHz,[WPA-PSK-TKIP+CCMP][K][V][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][K][V][ESS][WPS],Unknown,40
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,a5db200f-ee79-4ae6-9e01-ca85ef1c9ba1,2026-04-03 01:17:31,"Lat: 13.6809694, Lng: 100.6103321, Accuracy: 41.282m",22,22:08:89:73:6a:fe,<hidden>,-65,2472,13,2.4 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS],Unknown,20
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,a5db200f-ee79-4ae6-9e01-ca85ef1c9ba1,2026-04-03 01:17:31,"Lat: 13.6809694, Lng: 100.6103321, Accuracy: 41.282m",22,66:20:e3:18:cf:55,TrueGigatexFiber_WiFi7_F4A,-69,2452,9,2.4 GHz,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][K][V][PMFC][ESS],Unknown,20
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,a5db200f-ee79-4ae6-9e01-ca85ef1c9ba1,2026-04-03 01:17:31,"Lat: 13.6809694, Lng: 100.6103321, Accuracy: 41.282m",22,64:20:e3:48:cf:55,ADM 2.4G,-72,2452,9,2.4 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][PMFC][ESS][WPS],Unknown,20
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,a5db200f-ee79-4ae6-9e01-ca85ef1c9ba1,2026-04-03 01:17:31,"Lat: 13.6809694, Lng: 100.6103321, Accuracy: 41.282m",22,b8:5d:c3:02:68:98,Trent_2.4G,-74,2427,4,2.4 GHz,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][K][V][WPA-PSK-CCMP+TKIP][K][V][ESS][WPS],Unknown,20
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,a5db200f-ee79-4ae6-9e01-ca85ef1c9ba1,2026-04-03 01:17:31,"Lat: 13.6809694, Lng: 100.6103321, Accuracy: 41.282m",22,e6:dc:cc:db:15:34,Meowmeowmtf2 5G,-76,5180,36,5 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][WPA-PSK-CCMP][K][V][ESS][WPS],Unknown,40
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,a5db200f-ee79-4ae6-9e01-ca85ef1c9ba1,2026-04-03 01:17:31,"Lat: 13.6809694, Lng: 100.6103321, Accuracy: 41.282m",22,cc:4e:ec:42:f7:a8,Boonyoke 2G,-79,2412,1,2.4 GHz,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][K][V][WPA-PSK-CCMP+TKIP][K][V][ESS],Unknown,69
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,a5db200f-ee79-4ae6-9e01-ca85ef1c9ba1,2026-04-03 01:17:31,"Lat: 13.6809694, Lng: 100.6103321, Accuracy: 41.282m",22,66:20:e3:78:cf:56,<hidden>,-82,5620,124,5 GHz,[RSN-SAE-CCMP][K][V][PMFR][ESS],Unknown,20
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,a5db200f-ee79-4ae6-9e01-ca85ef1c9ba1,2026-04-03 01:17:31,"Lat: 13.6809694, Lng: 100.6103321, Accuracy: 41.282m",22,64:20:e1:62:d7:fe,<hidden>,-83,2467,12,2.4 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS],Unknown,27
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,a5db200f-ee79-4ae6-9e01-ca85ef1c9ba1,2026-04-03 01:17:31,"Lat: 13.6809694, Lng: 100.6103321, Accuracy: 41.282m",22,30:fb:b8:fc:05:5c,KWAN51_2.4G,-84,2417,2,2.4 GHz,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][K][V][WPA-PSK-CCMP+TKIP][K][V][ESS][WPS],Unknown,79
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,a5db200f-ee79-4ae6-9e01-ca85ef1c9ba1,2026-04-03 01:17:31,"Lat: 13.6809694, Lng: 100.6103321, Accuracy: 41.282m",22,22:08:89:f3:6a:ff,<hidden>,-84,5220,44,5 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS],Unknown,20
