"collection_id","username","sample_id","captured_at","gps_text","wifi_count","bssid","ssid","rssi_dbm","frequency_mhz","channel","band","security","wifi_standard"
"dc47c3cd-340b-4a0a-8957-43ecc47e7861","akmtrip","d0fc59f4-fe82-48ba-96fb-e2d7a638df02","2026-04-03 14:34:46","Lat: 13.740528984165593, Lng: 100.60976429625138, Accuracy: 13.741884m","3","de:0d:17:32:1c:8d","Thai Health Product","-57","5200","40","5 GHz","[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][K][V][R][ESS][WPS]","Unknown"
"dc47c3cd-340b-4a0a-8957-43ecc47e7861","akmtrip","d0fc59f4-fe82-48ba-96fb-e2d7a638df02","2026-04-03 14:34:46","Lat: 13.740528984165593, Lng: 100.60976429625138, Accuracy: 13.741884m","3","de:0d:17:32:1c:8c","Thai Health Product","-65","2432","5","2.4 GHz","[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][K][V][R][ESS][WPS]","Unknown"
"dc47c3cd-340b-4a0a-8957-43ecc47e7861","akmtrip","d0fc59f4-fe82-48ba-96fb-e2d7a638df02","2026-04-03 14:34:46","Lat: 13.740528984165593, Lng: 100.60976429625138, Accuracy: 13.741884m","3","cc:05:77:d1:5c:50","THP_2.4G","-86","2412","1","2.4 GHz","[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][K][V][WPA-PSK-CCMP+TKIP][K][V][ESS][WPS]","Unknown"
"dc47c3cd-340b-4a0a-8957-43ecc47e7861","akmtrip","b8c071bf-523a-4664-85bf-7916f755cb7b","2026-04-03 14:34:47","Lat: 13.740493860851664, Lng: 100.60980035055597, Accuracy: 4.9m","3","de:0d:17:32:1c:8d","Thai Health Product","-57","5200","40","5 GHz","[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][K][V][R][ESS][WPS]","Unknown"
"dc47c3cd-340b-4a0a-8957-43ecc47e7861","akmtrip","b8c071bf-523a-4664-85bf-7916f755cb7b","2026-04-03 14:34:47","Lat: 13.740493860851664, Lng: 100.60980035055597, Accuracy: 4.9m","3","de:0d:17:32:1c:8c","Thai Health Product","-65","2432","5","2.4 GHz","[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][K][V][R][ESS][WPS]","Unknown"
"dc47c3cd-340b-4a0a-8957-43ecc47e7861","akmtrip","b8c071bf-523a-4664-85bf-7916f755cb7b","2026-04-03 14:34:47","Lat: 13.740493860851664, Lng: 100.60980035055597, Accuracy: 4.9m","3","cc:05:77:d1:5c:50","THP_2.4G","-86","2412","1","2.4 GHz","[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][K][V][WPA-PSK-CCMP+TKIP][K][V][ESS][WPS]","Unknown"
"dc47c3cd-340b-4a0a-8957-43ecc47e7861","akmtrip","3a318b1a-907f-48fb-a3bb-94f9b7d67464","2026-04-03 14:34:48","Lat: 13.740496762925025, Lng: 100.60980186594786, Accuracy: 4.9m","3","de:0d:17:32:1c:8d","Thai Health Product","-57","5200","40","5 GHz","[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][K][V][R][ESS][WPS]","Unknown"
"dc47c3cd-340b-4a0a-8957-43ecc47e7861","akmtrip","3a318b1a-907f-48fb-a3bb-94f9b7d67464","2026-04-03 14:34:48","Lat: 13.740496762925025, Lng: 100.60980186594786, Accuracy: 4.9m","3","de:0d:17:32:1c:8c","Thai Health Product","-65","2432","5","2.4 GHz","[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][K][V][R][ESS][WPS]","Unknown"
"dc47c3cd-340b-4a0a-8957-43ecc47e7861","akmtrip","3a318b1a-907f-48fb-a3bb-94f9b7d67464","2026-04-03 14:34:48","Lat: 13.740496762925025, Lng: 100.60980186594786, Accuracy: 4.9m","3","cc:05:77:d1:5c:50","THP_2.4G","-86","2412","1","2.4 GHz","[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][K][V][WPA-PSK-CCMP+TKIP][K][V][ESS][WPS]","Unknown"
"dc47c3cd-340b-4a0a-8957-43ecc47e7861","akmtrip","dad7a108-39f9-4c26-a9e8-f3d411bdf043","2026-04-03 14:34:49","Lat: 13.740501485608306, Lng: 100.60980248376312, Accuracy: 4.9m","3","de:0d:17:32:1c:8d","Thai Health Product","-57","5200","40","5 GHz","[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][K][V][R][ESS][WPS]","Unknown"
